 (219.12521227827358, 326.91643843684653),
 (337.1077588322487, 363.6000873653934),
 (333.1419589480814, 795.8722747396216),
 (213.17651245202273, 886.0942221044261),
 (712.867297857094, 346.74543785768265),
 (873.4821931658669, 346.74543785768265),
 (865.5505933975323, 693.7529277223155),
 (704.9356980887594, 685.8213279539809),
 (704.9356980887594, 184.14764260682625),
 (868.5249433106578, 181.17329269370077),
 (865.5505933975323, 335.83948817622286),
 (701.9613481756339, 335.83948817622286),
 (445.1758056758058, 806.7782244210815),
 (422.3724563418441, 147.4639936782794)
